Group,Song,Lyrics
a1,Forever In Love,"

Love leads to laughter 
Love leads to pain 
With you by my side 
I feel good times again 
 
Never have I felt these feelings before 
You showed me the world 
How can I ask for more? 
 
And although there's confusion 
We'll find a solution to keep my heart close to you 
 
And I know, yes I know 
If you hold me, believe me 
I'll never, never ever leave 
 
And I know 
There is nothing that I would not do for you 
Forever be true 
And I know 
Although times can be hard 
We will see it through 
I'm forever in love with you 
 
Show me affection 
In all different ways 
Give you my heart 
For the rest of my days 
 
With you all my troubles are left far behind  
Like heaven on earth 
When I look in your eyes 
 
And although there's confusion 
We'll find a solution 
To keep my heart close to you 
 
And I know, yes I know 
If you hold me, believe me 
I'll never, never ever leave 
 
And I know 
There is nothing that I would not do for you 
Forever be true 
And I know 
Although times can be hard 
We will see it through 
I'm forever in love with you 
 
No need to cry 
I'll be right by your side 
(Right by your side) 
 
Let's take our time 
Love won't run dry 
If you hold me, believe me 
I'll never, never ever leave 
 
And I know 
There is nothing that I would not do for you 
Forever be true 
And I know 
Although times can be hard 
We will see it through 
I'm forever in love 
And I know 
There is nothing that I would not do for you 
 
Forever be true 
And I know 
 
Oh I know 
Although times can be hard 
We will see it through 
I'm forever in love with you
"
a1,Be The First To Believe,"

Just one on one 
That's the way we do it baby 
Just one on one 
That's the way we do it 
Just one on one 
That's the way we do it baby 
Just one on one 
That's the way we do it 
 
Baby 
I can't always say what's on my mind, yeah 
New sensations 
Got me 
Breaking out the love I feel inside, yeah 
I'll take you to a wonderland 
 
You hit me right between the eyes 
Shoulda listened to my mama done told me 
You sent me soaring to the skies 
Ain't gonna listen to my mama done told me 
 
Girl, this paradise is ours 
The planet, moon and stars 
 
Believe in me baby 
You got to believe 
Believe in me baby 
Be the first to believe 
 
Baby 
Elevate our love into the skies, yeah 
Cool vibrations 
Rock me 
Fly me up to heaven in your eyes, yeah 
It's magic when you hypnotise 
 
You hit me right between the eyes 
Shoulda listened to my mama done told me 
You sent me soaring to the skies 
Ain't gonna listen to my mama done told me 
 
Girl, this paradise is ours 
The planet, moon and stars 
 
Believe in me baby 
Yeah, you gotta believe 
Believe in me baby 
Be the first to believe 
Believe in me baby 
You got to believe 
Believe in me baby 
Said be the first to believe 
 
And be the first to believe 
Just one on one 
That's the way we do it baby 
Just one on one 
That's the way we do it 
Just one on one 
That's the way we do it baby 
Just one on one 
That's the way we do it 
 
Just one on one 
This paradise is ours 
Just one on one 
The planet, moon and stars 
Just one on one 
This paradise is ours 
Just one on one 
The planet, moon and stars 
 
Believe in me baby 
You got to believe 
Believe in me baby 
And be the first to believe 
Believe in me baby 
You got to believe 
Believe in me baby 
Said be the first to believe 
 
Believe in me baby 
You got to believe 
Believe in me baby 
Be the first to believe 
Believe in me baby 
Ooh, you got to believe 
Believe in me baby 
You gotta be the first to believe 
 
Just one on one, ooh 
Just one on one, ooh 
Just one on one, ooh 
Just one on one, ooh 
Be the first to believe
"
a1,Summertime Of Our Lives,"

Summertime of our lives 
Summertime of our lives, our lives 
 
Hey girl the feeling is right 
You've gotta get out in the sunlight, sunlight 
Hot sand holding your hand 
You keep me jammin' in the morning 
Till the moonlight 
 
We'll have the time of our lives 
In our wonder world 
Time of our lives 
There's a boy for every girl, come on 
 
Summertime of our lives, our lives 
Summertime of our lives, our lives 
 
Cool breeze kissin' the sea 
I've got a sunbeam shining on me, on me 
Blue skies sea in your eyes 
Let the groove move my people all around me 
 
We'll have the time of our lives 
In our wonder world 
Time of our lives 
There's a boy for every girl, come one 
 
Summertime of our lives, our lives 
Summertime of our lives, our lives 
 
Summertime, summertime 
Sugar candy cherry world 
Summertime, summertime 
There's a boy for every girl 
 
Summertime, summertime 
Sugar candy cherry world 
Summertime, summertime 
 
Summertime, summertime 
Summertime, summertime 
Summertime, summertime 
Summertime, summertime 
 
We'll have the time of our lives 
In our wonder world 
Time of our lives 
Come one 
 
Summertime of our lives, our lives, come on 
Summertime of our lives, our lives, come on 
 
Baby get ready, get down 
Are you up for it get down with it 
Baby get ready, get down 
Are you up for it get down with it 
 
Baby get ready, get down 
Are you up for it get down with it 
Baby get ready, get down 
 
Come on 
Summertime of our lives, our lives 
Come on 
Summertime of our lives, our lives 
Come on
"
a1,Ready Or Not,"

Could you love a boy like me tonight? 
Come on baby, won't you take a bite? 
Could you love a boy like me tonight? 
Oh, yeah! 
 
There's magic within you 
There's magic in everything you do 
Magic me to the place where dreams come true 
Sometimes I go crazy 
I get off on the crazy things we do 
I'm jealous of every guy that looks at you 
 
So tell me, could you love a boy like me, like me? 
Tell me could you love a boy like me? 
Because I need you, you're my heart and soul 
I'm gonna let you know, ain't gonna let you go 
 
Ready or not, here I come 
You can't hide from me, hide and seek 
Run away now, or stay now 
'Cause I'll keep searching, I'll keep searching for love 
 
Could you love a boy like me tonight? 
Come on baby, won't you take a bite? 
 
The game that you're playing 
Why do you tease me like you do? 
You gotta let me down or see it through 
You're straight from a movie 
But baby, I'm not from Hollywood 
By stealing your heart, I'll be your Robin Hood 
 
Tell me, could you love a boy like me, like me? 
Tell me could you love a boy like me? 
Because I need you, you're my heart and soul 
And I'm gonna let you know, ain't gonna let you go 
 
Ready or not, here I come 
You can't hide from me, hide and seek 
Run away now, or stay now 
'Cause I'll keep searching, I'll keep searching, baby 
 
Ready or not, here I come 
You can't hide from me, hide and seek 
Run away now, or stay now 
'Cause I'll keep searching, I'll keep searching for love, baby 
 
You can't hide the love inside, love baby 
You can't hide the love inside 
 
Could you love a boy like me, like me? 
Tell me could you love a boy like me? 
Because I need you, you're my heart and soul 
And I'm gonna let you know, I'll never let you go! Oh, no! 
 
Ready or not, here I come 
You can't hide from me, hide and seek 
Run away now, or stay now 
'Cause I'll keep searching, I'll keep searching baby 
 
Ready or not, here I come 
You can't hide from me, hide and seek 
Run away now, or stay now 
'Cause I'll keep searching, I'll keep searching for love 
 
Could you love a boy like me tonight? 
Come on baby, won't you take a bite? 
Could you love a boy like me tonight? 
Oh, yeah
"
a1,Everytime,"

Lately, I'm not who I used to be 
Someone's come and taken me 
Where I don't wanna go 
If I knew 
Exactly what I have to do 
In order to be there for you 
When you are feeling low 
And all the things we ever wanted 
Were once yours and mine 
Now I know we can revive it 
All the love we left 
 
Every time I kiss 
I feel your lips 
And every time I cry 
I see you smile 
And every time I close my eyes 
I realize 
That every time I hold 
Your hand in mine 
The sweetest thing my heart 
Could ever find 
And I have never felt this way 
Since the day 
I gave your love away 
 
Save me 
I've fallen from my destiny 
You and I were meant to be 
I've thrown it all away 
Now you're gone 
It's time for me to carry on 
But baby I just can't go on 
Without you by my side 
And all the things we ever wanted 
Were once yours and mine 
Now I know we can revive it 
All the love we left 
 
Every time I kiss 
I feel your lips 
And every time I cry 
I see you smile 
And every time I close my eyes 
I realize 
That every time I hold 
Your hand in mine 
The sweetest thing my heart 
Could ever find 
And I have never felt this way 
Since the day 
I gave your love away 
 
We can survive it 
All the pain we feel inside 
You relied on me 
And now I've let you down 
Now I promise you forever 
I will be the best I can 
Now I know we can revive it 
All the love we left 
 
Every time I kiss 
I feel your lips 
And every time I cry 
I see you smile 
And every time I close my eyes 
I realize 
That every time I hold 
Your hand in mine 
The sweetest thing my heart 
Could ever find 
And I have never felt this way 
Since I gave your love away 
 
Every time I kiss 
I feel your lips 
And every time I cry 
I see you smile 
And every time I close my eyes 
I realize 
That every time I hold 
Your hand in mine 
The sweetest thing my heart 
Could ever find 
And I have never felt this way 
Since the day 
I gave your love away
"
a1,If Only,"

I said I'd never leave you 
I said that I would never let you down 
I needed a chance to prove my love to you 
'Til time is through 
 
The promises I gave you 
I never meant to see them left untrue 
You were my everything, I give my 
Heart to you - to start anew 
 
And all of the days just pass me by 
So I pray, and I'm asking why 
 
All that I ask is one more try 
'Cause I never wanna say goodbye 
 
If only I listened to my heart 
Then maybe we wouldn't be apart 
Now all I can dream about is you 
And baby that's all I do 
If only we two could start anew 
I promise I'd never be untrue 
'Cause all I can dream about is you 
And baby that's all I do 
 
You're looking for another 
I'm looking for a chance with you again 
I guess I never showed you 
What you mean to me 
Can't you see 
 
Everything I told you 
And everything I did I feel was wrong 
I didn't know the words I said would 
Make you leave, please believe 
 
And all of the days just pass me by 
So I pray, and I'm asking why 
 
All that I ask is one more try 
'Cause I never wanna say goodbye 
 
If only I listened to my heart 
Then maybe we wouldn't be apart 
Now all I can dream about is you 
And baby that's all I do 
If only we two could start anew 
I promise I never be untrue 
'Cause all I can dream about is you 
And baby that's all I do 
 
If only, if only, if only, all I do 
If only, if only, if only, all I do 
 
If only I listened to my heart 
Then maybe we wouldn't be apart 
Now all I can dream about is you 
And baby that's all I do 
 
If only I listened to my heart 
Then maybe we wouldn't be apart 
Now all I can dream about is you 
And baby that's all I do 
If only we two could start anew 
I promise I'd never be untrue 
'Cause all I can dream about is you 
And baby that's all I do 
 
If only I listened to my heart 
Then maybe we wouldn't be apart 
Now all I can dream about is you 
And baby that's all I do 
If only we two could start anew 
I promise I never be untrue 
'Cause all I can dream about is you 
And baby that's all I do
"
a1,Hey You,"

Hey you, looking around at your friends 
You see something about them has changed 
And nothing's clear 
They're not the same 
 
Don't you take it to heart all the same 
You'll see it works out better that way 
Don't be afraid to shout your name 
 
Do what you gotta do (hey) 
The world is waiting for you (hey) 
There ain't nothing to lose 
Everybody today (yeah) 
Everything is okay (yeah) 
Come together and say 
 
It's alright, it's alright 
You don't have to stop the way you're feeling 
'Cause you got time to get it right 
Let your mind know where it's leading 
It's alright, it's alright 
It's alright, it's alright 
 
Hey you, just be the best you can be 
You'll see the best things in life come for free 
Now it's all clear, no cloudy day 
 
If you follow your heart and believe 
You'll be excited by what you'll achieve 
Don't be afraid to find a way, oh 
 
Oh, do what you gotta do (hey) 
The world is waiting for you (hey) 
There ain't nothing to lose 
Everybody today (yeah) 
If he thinks it's okay (yeah) 
Come together and say 
 
It's alright, it's alright 
You don't have to stop the way you're feeling 
'Cause you got time to get it right 
Let your mind know where it's leading 
It's alright, it's alright 
It's alright, it's alright 
 
Do what you gotta do (hey) 
The world is waiting for you (hey) 
There ain't nothing to lose 
Everybody today (yeah) 
If he thinks it's okay (yeah) 
Come together and say 
 
It's alright, it's alright 
You don't have to stop the way you're feeling 
'Cause you got time to get it right 
Let your mind know where it's leading 
 
It's alright, it's alright 
You don't have to stop the way you're feeling 
'Cause you got time to get it right 
Let your mind know where it's leading 
It's alright, it's alright 
It's alright, it's alright 
It's alright, it's alright 
It's alright, it's alright
"
a1,Like A Rose,"

And as I look into your eyes 
I see an angel in disguise 
Sent from God above for me to love 
To hold and idolize 
And as I hold your body near 
I'll see this month through to a year 
And then forever on 'til life is gone 
I'll keep your loving near 
 
And now I've finally found my way 
To lead me down this lonely road 
All I have to do is follow you 
To lighten off my load 
 
You treat me like a rose 
You give me room to grow 
You shone the light of love on me 
And gave me air so I can breathe 
You open doors that close 
In a world where anything goes 
You give me strength so I stand tall 
Within this bed of earth 
Just like a rose 
 
And when I feel like hope is gone 
You give me strength to carry on 
Each time I look at you there's something new 
To keep our loving strong 
I hear you whisper in my ear 
All of the words I long to hear 
Of how you'll always be here next to me 
To wipe away my tears 
 
And now I've finally found my way 
To lead me down this lonely road 
All I have to do is follow you 
To lighten off my load 
 
You treat me like a rose 
You give me room to grow 
You shone the light of love on me 
And gave me air so I can breathe 
You open doors that close 
In a world where anything goes 
You give me strength so I stand tall 
Within this bed of earth 
Just like a rose 
 
And though the seasons change 
Our love remains the same 
(Just like a rose) 
You face the thunder 
When the sunshine turns to rain 
(Just like a rose) 
 
You treat me like a rose (You treat me like a rose) 
You give me room to grow (You give me room to grow) 
You shone the light of love on me 
And gave me air so I can breathe 
You open doors that close 
In a world where anything goes 
You give me strength so I stand tall 
Within this bed of earth 
Just like a rose 
 
Whoa, like a rose (Just like a rose) 
No, oh (ah) 
You treat me like a rose (Just like a rose) 
No no no no oh (ah ah ah ah) 
You give me strength so I stand tall 
Within this bed of earth 
Just like a rose
"
a1,Walking In The Rain,"

Sitting by the window 
Singing songs of love 
Wishing you were here 
Because the memory's not enough 
Wear my mask in silence 
Pretending I'm alright 
If you could see then you would be 
Here standing by my side 
 
It may be hard to believe 
But girl you're the only one I need 
It may be hard along the way 
It's this feeling I get 
When blue skies turn to grey 
 
Feels like I'm walking in the rain 
I find myself trying to wash away the pain 
'Cause I need you to give me some shelter 
'Cause I'm fading away 
And baby, I'm walking in the rain 
 
Every single hour 
Of every single day 
I need to cry, my eyes are dry 
I've cried my tears away 
Can't help but remember 
How you made me feel 
You dressed my soul and made me whole 
You made my life complete 
 
It may be hard to believe 
But girl you're the only one I need 
It may be hard along the way 
It's this feeling I get 
When blue skies turn to grey 
 
Feels like I'm walking in the rain 
I find myself trying to wash away the pain 
'Cause I need you to give me some shelter 
'Cause I'm fading away 
And baby, I'm walking in the rain 
 
Of all we've said and done 
Remains the memories of days 
When life was fun 
But now when you are gone 
I sit alone to watch the setting of the sun 
 
Feels like I'm walking in the rain 
I find myself trying to wash away the pain 
'Cause I need you to give me some shelter 
'Cause I'm fading away 
And baby, I'm walking in the rain 
 
I said baby, I'm walking in the rain
"
a1,Still Around,"

In this life of uncertainty 
There are people that we all need 
Someone to face you, with no disguise 
In you there's a remedy 
That makes everyday seem trouble free 
No distance and no device 
 
'Cause you hear the words 
When no one understands 
 
When my world has come undone 
And I've lost my setting sun 
When all I see are clouds 
You're still around 
When I fall into a tear 
Inspirations disappear 
You clear away that doubt 
'Cause you're still, you're still around 
 
Now I've stumbled on uncertainty 
Never thought this could ever be 
No contradictions left inside 
When I feel the rain come my way 
You give me sun, you're my brighter day 
Intuition's telling me to stay 
 
'Cause you hold the words 
When nothing's left to say 
 
When my world has come undone 
And I've lost my setting sun 
When all I see are clouds 
You're still around 
When I fall into a tear 
Inspirations disappear 
You clear away that doubt 
'Cause you're still, you're still around 
 
In this life of uncertainty 
There are people that we all need 
Someone to face you, with no disguise 
In you there's a remedy 
That makes everyday seem trouble free 
No distance and no device 
 
'Cause you hear the words 
When no one understands 
 
When my world has come undone 
And I've lost my setting sun 
When all I see are clouds 
You're still around 
When I fall into a tear 
Inspirations disappear 
You clear away that doubt 
'Cause you're still, you're still 
 
When my world has come undone 
And I've lost my setting sun 
When all I see are clouds 
You're still around 
When I fall into a tear 
Inspirations disappear 
You clear away that doubt 
'Cause you're still, you're still around
"
